Date,Year,Day_of_Year,Facility_Name,Industry,Production_Index,Natural_Gas_GJ,Energy_MWh,Steam_tonnes,Flare_Emissions_tCO2e,CH4_tCO2e,N2O_tCO2e,CO2_Emissions_tCO2e,Total_GHG_tCO2e,Operating_Hours
2010-01-31,2010,31,INEOS Chocolate Bayou Plant,Petrochemical,105.79,4590.65,853.96,1167.88,42.63,19.11,13.99,2475.66,2508.76,23.46
2010-02-01,2010,32,INEOS Chocolate Bayou Plant,Petrochemical,97.9,4571.51,895.76,1304.55,39.19,21.46,15.2,2393.77,2430.44,23.82
2010-02-02,2010,33,INEOS Chocolate Bayou Plant,Petrochemical,100.73,4738.18,929.48,1253.15,35.94,16.23,11.86,2470.36,2498.44,23.14
2010-02-03,2010,34,INEOS Chocolate Bayou Plant,Petrochemical,106.39,4701.64,927.71,1194.98,25.44,16.39,11.02,2493.8,2521.21,23.75
2010-02-04,2010,35,INEOS Chocolate Bayou Plant,Petrochemical,100.7,4943.82,902.7,1178.26,44.42,16.78,12,2636.15,2664.94,22.44
2010-02-05,2010,36,INEOS Chocolate Bayou Plant,Petrochemical,108.46,4627.42,878.95,1239.79,54.47,15.44,15.61,2462.37,2493.42,22.24
2010-02-06,2010,37,INEOS Chocolate Bayou Plant,Petrochemical,112.82,4744.38,861.89,1337.46,45.15,12.33,12.59,2470.76,2495.67,22.43
2010-02-07,2010,38,INEOS Chocolate Bayou Plant,Petrochemical,112.76,4871.82,902.53,1236.36,43.61,14.96,10.79,2665.57,2691.31,23.54
2010-02-08,2010,39,INEOS Chocolate Bayou Plant,Petrochemical,108.21,4735.45,868.68,1330.16,46.33,17.5,10.73,2469.15,2497.37,22.04
2010-02-09,2010,40,INEOS Chocolate Bayou Plant,Petrochemical,93.55,4664.55,942.85,1331.32,48.9,24.93,11.91,2545.52,2582.36,23.13
2010-02-10,2010,41,INEOS Chocolate Bayou Plant,Petrochemical,104.6,4630.2,870.58,1232.6,32.12,20.6,11.91,2530.92,2563.42,24
2010-02-11,2010,42,INEOS Chocolate Bayou Plant,Petrochemical,110.84,4670.79,887.11,1198.85,36.36,15.49,14.67,2513.81,2543.97,23.34
2010-02-12,2010,43,INEOS Chocolate Bayou Plant,Petrochemical,101.6,4957.07,891.85,1231.51,37.02,20.86,10.63,2629.89,2661.38,23.75
2010-02-13,2010,44,INEOS Chocolate Bayou Plant,Petrochemical,95.07,4883.78,872.89,1188.4,34.94,16.32,11.95,2562.3,2590.56,23.43
2010-02-14,2010,45,INEOS Chocolate Bayou Plant,Petrochemical,99.64,4819.07,881.78,1230.16,34.81,18.74,7.76,2558.36,2584.86,22.41
2010-02-15,2010,46,INEOS Chocolate Bayou Plant,Petrochemical,106.71,4800.28,863.14,1262.79,32.46,22.77,12.02,2445.32,2480.11,23.55
2010-02-16,2010,47,INEOS Chocolate Bayou Plant,Petrochemical,106.14,4785.71,900.1,1314.83,41.82,17.06,9.58,2578.79,2605.42,23.61
2010-02-17,2010,48,INEOS Chocolate Bayou Plant,Petrochemical,103.95,4632.35,901.36,1328.96,53.33,18.17,12.12,2465.79,2496.08,23.15
2010-02-18,2010,49,INEOS Chocolate Bayou Plant,Petrochemical,111.63,5038.72,892.79,1270.23,40.08,23.83,8.54,2667.66,2700.02,22.66
2010-02-19,2010,50,INEOS Chocolate Bayou Plant,Petrochemical,112.77,4760.58,951.65,1246.73,30.31,14.89,8.23,2547.3,2570.43,22.9
2010-02-20,2010,51,INEOS Chocolate Bayou Plant,Petrochemical,112.74,4657.68,883.17,1278.74,40.2,22.27,12.24,2417.76,2452.27,22.75
2010-02-21,2010,52,INEOS Chocolate Bayou Plant,Petrochemical,105.93,4828.39,898.6,1305.93,35.77,21.39,12.94,2582.05,2616.37,22.61
2010-02-22,2010,53,INEOS Chocolate Bayou Plant,Petrochemical,105.83,4742.51,877.61,1303.34,35.3,19.03,8.2,2558.47,2585.7,22.83
2010-02-23,2010,54,INEOS Chocolate Bayou Plant,Petrochemical,103.1,4565.52,906.86,1237.95,47.44,18.1,12.09,2361.02,2391.21,22.09
2010-02-24,2010,55,INEOS Chocolate Bayou Plant,Petrochemical,99.24,4889.01,872.58,1262.33,41.04,20.08,11.55,2575,2606.63,23.33
2010-02-25,2010,56,INEOS Chocolate Bayou Plant,Petrochemical,104.38,4685.36,920.11,1317.48,47.76,21.01,13.97,2525.34,2560.32,22.87
2010-02-26,2010,57,INEOS Chocolate Bayou Plant,Petrochemical,113.72,4828.26,924.8,1313.28,47.42,18.91,12.42,2622.39,2653.73,22.48
2010-02-27,2010,58,INEOS Chocolate Bayou Plant,Petrochemical,100.67,4940.47,916.52,1254.12,41.38,18.29,3.64,2563.48,2585.42,23.3
2010-02-28,2010,59,INEOS Chocolate Bayou Plant,Petrochemical,101.68,4636.44,883.52,1226.9,45.07,17.38,13.14,2477.47,2507.99,23.75
2010-03-01,2010,60,INEOS Chocolate Bayou Plant,Petrochemical,103.74,4673.79,916.12,1343.18,40.51,16.19,9.41,2451.52,2477.12,23.77
2010-03-02,2010,61,INEOS Chocolate Bayou Plant,Petrochemical,112.39,4530.76,913.4,1288.97,35.43,22.17,13.94,2424.12,2460.24,22.57
2010-03-03,2010,62,INEOS Chocolate Bayou Plant,Petrochemical,113.81,4899.67,901.46,1270.75,42.19,12.21,11.18,2576.65,2600.05,22.03
2010-03-04,2010,63,INEOS Chocolate Bayou Plant,Petrochemical,108.01,4709.63,888.43,1301.58,32.7,17.9,14.18,2420.77,2452.84,23.79
2010-03-05,2010,64,INEOS Chocolate Bayou Plant,Petrochemical,114.02,4779.4,929.23,1230.41,28.04,19.92,13.55,2535.12,2568.6,22.38
2010-03-06,2010,65,INEOS Chocolate Bayou Plant,Petrochemical,101.61,4790.98,873.91,1311.86,38.2,23.82,12.41,2508.63,2544.87,22.24
2010-03-07,2010,66,INEOS Chocolate Bayou Plant,Petrochemical,107.47,4960.47,892.88,1262.09,55.36,19.05,12.57,2655.71,2687.33,22.4
2010-03-08,2010,67,INEOS Chocolate Bayou Plant,Petrochemical,101.77,5037.46,906.07,1257.06,59.42,18.47,14.74,2708.43,2741.63,23.02
2010-03-09,2010,68,INEOS Chocolate Bayou Plant,Petrochemical,107.76,4647.87,894.93,1251.5,40.94,16.72,12.54,2556.66,2585.93,23.39
2010-03-10,2010,69,INEOS Chocolate Bayou Plant,Petrochemical,102.48,4767.19,887.23,1280.88,39.82,15.31,11.54,2488.01,2514.86,23.5
2010-03-11,2010,70,INEOS Chocolate Bayou Plant,Petrochemical,109.84,4890.04,936.12,1323.45,40.39,16.09,12.48,2661.29,2689.86,22.55
2010-03-12,2010,71,INEOS Chocolate Bayou Plant,Petrochemical,113.55,4816.81,911.52,1308.22,41.98,20.02,12.14,2569.8,2601.97,22.93
2010-03-13,2010,72,INEOS Chocolate Bayou Plant,Petrochemical,105.5,5161.25,877.78,1270.4,51.3,22.31,7.95,2702.49,2732.74,22.85
2010-03-14,2010,73,INEOS Chocolate Bayou Plant,Petrochemical,102.32,4867,917.91,1303.18,48.5,16.76,12.89,2547.15,2576.8,23.85
2010-03-15,2010,74,INEOS Chocolate Bayou Plant,Petrochemical,106.51,4815.21,934.04,1333.25,31.52,27.04,14.5,2622.07,2663.62,22.79
2010-03-16,2010,75,INEOS Chocolate Bayou Plant,Petrochemical,108.59,4762.89,888.26,1286.06,25.15,20.1,13.7,2508.92,2542.72,22.76
2010-03-17,2010,76,INEOS Chocolate Bayou Plant,Petrochemical,101.39,4722.37,931.8,1283.86,42.85,22.28,12.68,2560.23,2595.19,23.85
2010-03-18,2010,77,INEOS Chocolate Bayou Plant,Petrochemical,113.23,4851.35,898.71,1274.65,41.46,22.67,11.36,2516.54,2550.57,22.63
2010-03-19,2010,78,INEOS Chocolate Bayou Plant,Petrochemical,115.61,4753.38,890.23,1251.87,47.7,16.72,9.22,2509.02,2534.96,22.18
2010-03-20,2010,79,INEOS Chocolate Bayou Plant,Petrochemical,108.71,4811.01,927.29,1323.48,39.93,14.11,11.75,2591.58,2617.44,22.62
2010-03-21,2010,80,INEOS Chocolate Bayou Plant,Petrochemical,104.14,4580.45,887.54,1294.05,42,18.41,10.39,2468,2496.81,23.5
2010-03-22,2010,81,INEOS Chocolate Bayou Plant,Petrochemical,118.61,5020.88,933.75,1249.6,70.02,14.4,11.26,2650.36,2676.02,23.92
2010-03-23,2010,82,INEOS Chocolate Bayou Plant,Petrochemical,108.12,4720.17,884.85,1222.24,44.43,21.62,10.46,2465.54,2497.62,23.82
2010-03-24,2010,83,INEOS Chocolate Bayou Plant,Petrochemical,105.32,4944.55,893.56,1225.76,34.08,22.05,10.85,2715.89,2748.79,22.37
2010-03-25,2010,84,INEOS Chocolate Bayou Plant,Petrochemical,102.7,4816.23,908.75,1327.73,48,17.43,6.07,2552.19,2575.7,22.68
2010-03-26,2010,85,INEOS Chocolate Bayou Plant,Petrochemical,102.97,4825.11,926.65,1330.46,40.45,13.8,12.08,2538.95,2564.83,22.9
2010-03-27,2010,86,INEOS Chocolate Bayou Plant,Petrochemical,112.79,4801.94,913.65,1276.31,50.81,17.31,12.08,2594.34,2623.73,22.9
2010-03-28,2010,87,INEOS Chocolate Bayou Plant,Petrochemical,105.88,4841.89,972.99,1291.44,36.12,18.36,13.16,2550.16,2581.68,22.57
2010-03-29,2010,88,INEOS Chocolate Bayou Plant,Petrochemical,104,4854.07,953.44,1199.29,40.4,21.79,8.64,2674.87,2705.31,22.98
2010-03-30,2010,89,INEOS Chocolate Bayou Plant,Petrochemical,115.25,4694.88,910.7,1365.63,23.94,21.57,8.3,2489.77,2519.63,23.43
2010-03-31,2010,90,INEOS Chocolate Bayou Plant,Petrochemical,106,5012.11,946.98,1295.66,45.92,21,10.57,2719.63,2751.2,22.91
2010-04-01,2010,91,INEOS Chocolate Bayou Plant,Petrochemical,103.77,4889.28,932.53,1353.32,34.75,17.05,12.1,2582.92,2612.06,22.51
2010-04-02,2010,92,INEOS Chocolate Bayou Plant,Petrochemical,105.46,4649.4,890.15,1334.74,49.67,10.38,11.45,2487.44,2509.27,23
2010-04-03,2010,93,INEOS Chocolate Bayou Plant,Petrochemical,99.48,4729.8,936.92,1265.33,31.28,17.46,11.65,2479.38,2508.49,22.69
2010-04-04,2010,94,INEOS Chocolate Bayou Plant,Petrochemical,111.17,4971.06,940.23,1288.9,35.92,13.93,14.33,2558.82,2587.09,22.28
2010-04-05,2010,95,INEOS Chocolate Bayou Plant,Petrochemical,104.8,4930.96,909.62,1229.59,41.5,17.42,14.57,2638.08,2670.06,22.16
2010-04-06,2010,96,INEOS Chocolate Bayou Plant,Petrochemical,116.26,4855.61,907.36,1303.03,29.17,13.46,9.11,2591.32,2613.9,22.19
2010-04-07,2010,97,INEOS Chocolate Bayou Plant,Petrochemical,116.51,4919.26,911.15,1332.88,46.01,20.93,8.75,2572.94,2602.62,23.66
2010-04-08,2010,98,INEOS Chocolate Bayou Plant,Petrochemical,116.84,4973.2,904,1275.08,43.8,17.13,10.51,2634.61,2662.26,23.49
2010-04-09,2010,99,INEOS Chocolate Bayou Plant,Petrochemical,116.95,4869.65,948.01,1260.16,44.72,20.71,10.5,2661.81,2693.02,22.72
2010-04-10,2010,100,INEOS Chocolate Bayou Plant,Petrochemical,104.54,4897.67,926.64,1272.91,33.12,20.28,12.21,2661.4,2693.89,22.85
2010-04-11,2010,101,INEOS Chocolate Bayou Plant,Petrochemical,112.07,4850.4,953.34,1286.57,38.42,21.83,10.7,2520.09,2552.63,23.9
2010-04-12,2010,102,INEOS Chocolate Bayou Plant,Petrochemical,103.27,4766.77,933.77,1275.78,43.3,14.09,10.29,2611.53,2635.92,22.76
2010-04-13,2010,103,INEOS Chocolate Bayou Plant,Petrochemical,104.34,4680.44,890.85,1229.8,28.02,13.32,10.96,2446.79,2471.07,23.12
2010-04-14,2010,104,INEOS Chocolate Bayou Plant,Petrochemical,100.69,4758.05,934.03,1311.67,39.92,16.14,13.68,2593.99,2623.8,22.06
2010-04-15,2010,105,INEOS Chocolate Bayou Plant,Petrochemical,96.92,4798.92,925.46,1266.38,44.15,14.93,13.15,2486.6,2514.69,23.32
2010-04-16,2010,106,INEOS Chocolate Bayou Plant,Petrochemical,117.36,5052.5,957.13,1373.59,48.19,14.29,17.19,2675.41,2706.89,22.39
2010-04-17,2010,107,INEOS Chocolate Bayou Plant,Petrochemical,101.83,5005.48,946.43,1296.86,28.52,19.26,10.76,2589.97,2619.98,22.36
2010-04-18,2010,108,INEOS Chocolate Bayou Plant,Petrochemical,109.9,4824.21,915.79,1301.03,47.67,15.44,13.22,2554.8,2583.46,23.87
2010-04-19,2010,109,INEOS Chocolate Bayou Plant,Petrochemical,112.54,4608.3,906.63,1330.38,52.35,23.58,11.22,2536.13,2570.93,23.81
2010-04-20,2010,110,INEOS Chocolate Bayou Plant,Petrochemical,109.64,4799.4,878.83,1308.2,39.17,10.76,9.12,2574.42,2594.3,23.69
2010-04-21,2010,111,INEOS Chocolate Bayou Plant,Petrochemical,105.58,4867.48,888.59,1293.29,41.97,17.77,10.51,2610.17,2638.45,22.1
2010-04-22,2010,112,INEOS Chocolate Bayou Plant,Petrochemical,108.91,4794.16,901.41,1243.86,47.47,17.61,10.96,2571.42,2599.99,23.76
2010-04-23,2010,113,INEOS Chocolate Bayou Plant,Petrochemical,110.63,4727.37,894.66,1240.48,38.64,17.64,12.34,2475.96,2505.95,23.75
2010-04-24,2010,114,INEOS Chocolate Bayou Plant,Petrochemical,105.67,4815.07,914.51,1261.65,43.43,23.92,11.46,2589.27,2624.66,22.2
2010-04-25,2010,115,INEOS Chocolate Bayou Plant,Petrochemical,117.23,4834.75,920.54,1304.79,39.98,19.86,11.76,2563.18,2594.8,23.97
2010-04-26,2010,116,INEOS Chocolate Bayou Plant,Petrochemical,108.21,4742.34,905.04,1309.61,52.46,19.6,8.73,2523.27,2551.6,23.05
2010-04-27,2010,117,INEOS Chocolate Bayou Plant,Petrochemical,108.28,4683.65,934.39,1316.75,42.24,17.7,12.83,2420.81,2451.35,22.96
2010-04-28,2010,118,INEOS Chocolate Bayou Plant,Petrochemical,94.72,4903.36,937.45,1303.09,30.08,20.65,7.62,2608.78,2637.04,23.85
2010-04-29,2010,119,INEOS Chocolate Bayou Plant,Petrochemical,113.09,4899.8,928.8,1298.18,33.24,15.19,9.06,2742.62,2766.87,22.94
2010-04-30,2010,120,INEOS Chocolate Bayou Plant,Petrochemical,100.51,4863.97,941.47,1320.86,46.99,14.52,12.38,2523.65,2550.56,23.57
2010-05-01,2010,121,INEOS Chocolate Bayou Plant,Petrochemical,103.54,4839.97,894.75,1321.03,36.91,18.68,9.35,2590.97,2618.99,23.25
2010-05-02,2010,122,INEOS Chocolate Bayou Plant,Petrochemical,113.41,5033.44,951.81,1313.85,43,18.75,11.74,2585.09,2615.58,22.89
2010-05-03,2010,123,INEOS Chocolate Bayou Plant,Petrochemical,101.34,4728.16,902.02,1300.01,32.83,21.53,12.01,2410.85,2444.38,22.56
2010-05-04,2010,124,INEOS Chocolate Bayou Plant,Petrochemical,113.41,4772.51,887.96,1323.4,42.71,22.27,12.15,2554.89,2589.31,22.31
2010-05-05,2010,125,INEOS Chocolate Bayou Plant,Petrochemical,100.98,4951.69,866.36,1247.74,52.2,11.28,13.15,2540.52,2564.95,22.71
2010-05-06,2010,126,INEOS Chocolate Bayou Plant,Petrochemical,117.96,4843.12,915.69,1251.7,45.28,22.23,11.34,2620.96,2654.54,23.99
2010-05-07,2010,127,INEOS Chocolate Bayou Plant,Petrochemical,110.96,4681.1,894.36,1291.39,38.66,17.44,11.97,2457.96,2487.37,23.16
2010-05-08,2010,128,INEOS Chocolate Bayou Plant,Petrochemical,103.86,4887.71,897.21,1209.33,36.93,17.48,13.11,2589.04,2619.63,22.76
2010-05-09,2010,129,INEOS Chocolate Bayou Plant,Petrochemical,104.54,4702.03,889.05,1237.28,34.03,18.85,12.03,2469.89,2500.77,23.14
2010-05-10,2010,130,INEOS Chocolate Bayou Plant,Petrochemical,104.73,4960.02,866.54,1280.49,47.7,18.85,11.8,2599.1,2629.75,23.4
2010-05-11,2010,131,INEOS Chocolate Bayou Plant,Petrochemical,106.86,4842.59,901.99,1310.13,53.25,18.24,12.88,2621.57,2652.7,22.59
2010-05-12,2010,132,INEOS Chocolate Bayou Plant,Petrochemical,96.65,4774.99,905.36,1258.91,41.52,17.33,16.48,2554.05,2587.85,22.28
2010-05-13,2010,133,INEOS Chocolate Bayou Plant,Petrochemical,100.23,4699.55,894.71,1232.1,41.23,18.41,10.37,2583.16,2611.94,22.76
2010-05-14,2010,134,INEOS Chocolate Bayou Plant,Petrochemical,111.47,4532.68,941.5,1311.84,40.45,22,10.02,2450.43,2482.44,23.38
2010-05-15,2010,135,INEOS Chocolate Bayou Plant,Petrochemical,103.45,4854.4,914.39,1311.77,47.21,20.35,13.54,2558.41,2592.31,22.55
2010-05-16,2010,136,INEOS Chocolate Bayou Plant,Petrochemical,109.61,4558.67,900.09,1291.43,43.53,21.85,12.19,2376.03,2410.07,23.65
2010-05-17,2010,137,INEOS Chocolate Bayou Plant,Petrochemical,106.49,4615.77,899.24,1200.31,22.76,20.15,9.39,2425.69,2455.23,22.75
2010-05-18,2010,138,INEOS Chocolate Bayou Plant,Petrochemical,110.18,4623.02,902.7,1278.89,33.65,18.91,11.89,2485.24,2516.04,22.99
2010-05-19,2010,139,INEOS Chocolate Bayou Plant,Petrochemical,103.42,4867.74,940.59,1291.89,54.17,20.78,13.7,2556.01,2590.49,22.99
2010-05-20,2010,140,INEOS Chocolate Bayou Plant,Petrochemical,99.17,4776.36,909.32,1182.09,26.15,19.7,10.98,2493.8,2524.48,23.05
2010-05-21,2010,141,INEOS Chocolate Bayou Plant,Petrochemical,106.29,4771.14,937.25,1314.89,32.99,21.95,10.77,2548.18,2580.9,23.5
2010-05-22,2010,142,INEOS Chocolate Bayou Plant,Petrochemical,100.17,4780.82,879.2,1258.41,35.45,19.75,10.47,2548.05,2578.28,22.8
2010-05-23,2010,143,INEOS Chocolate Bayou Plant,Petrochemical,106.8,4558.82,903.04,1267.66,37.15,15.79,11.52,2372.71,2400.02,22.19
2010-05-24,2010,144,INEOS Chocolate Bayou Plant,Petrochemical,108.08,4644.75,879.95,1248.22,27.7,24.36,11.37,2412.41,2448.14,22.81
2010-05-25,2010,145,INEOS Chocolate Bayou Plant,Petrochemical,108.81,4677.85,859.36,1307.45,44.61,13.88,13.56,2405.44,2432.88,22.63
2010-05-26,2010,146,INEOS Chocolate Bayou Plant,Petrochemical,97.61,4683.55,869.06,1274.11,36.72,19.44,13.08,2596.52,2629.04,23.03
2010-05-27,2010,147,INEOS Chocolate Bayou Plant,Petrochemical,105,4771.65,931.78,1291.18,51.05,21.06,14.11,2473.29,2508.46,23.92
2010-05-28,2010,148,INEOS Chocolate Bayou Plant,Petrochemical,100.07,4876.93,904.67,1282.39,47.91,22.82,12.48,2498.81,2534.11,23.67
2010-05-29,2010,149,INEOS Chocolate Bayou Plant,Petrochemical,99.62,4743.93,878.96,1226.12,33.85,18.84,11.98,2451.76,2482.58,22.93
2010-05-30,2010,150,INEOS Chocolate Bayou Plant,Petrochemical,100.94,4894.77,839.62,1265.79,26.91,23.37,14.22,2536.38,2573.97,23.44
2010-05-31,2010,151,INEOS Chocolate Bayou Plant,Petrochemical,99.63,4785.65,930.23,1234.18,41.38,16.45,12,2630.43,2658.88,22.25
2010-06-01,2010,152,INEOS Chocolate Bayou Plant,Petrochemical,101.83,4662.24,911.84,1183.94,37.03,22.97,11.38,2600.44,2634.78,23.71
2010-06-02,2010,153,INEOS Chocolate Bayou Plant,Petrochemical,92.73,4786.77,887.96,1289.97,38.91,18.57,14.23,2553.23,2586.03,23.53
2010-06-03,2010,154,INEOS Chocolate Bayou Plant,Petrochemical,108.63,4666.19,939.03,1261.67,46.16,14.32,12.28,2491.52,2518.12,23.43
2010-06-04,2010,155,INEOS Chocolate Bayou Plant,Petrochemical,107.37,4502.28,906.26,1291.81,39.22,18.1,13.35,2443.06,2474.51,22.33
2010-06-05,2010,156,INEOS Chocolate Bayou Plant,Petrochemical,95.85,4600.79,868.11,1239.08,38.39,20.47,13.99,2459.77,2494.23,22.41
2010-06-06,2010,157,INEOS Chocolate Bayou Plant,Petrochemical,101.08,4669.09,906.9,1210.7,49.58,18.37,12.06,2532.23,2562.66,23.14
2010-06-07,2010,158,INEOS Chocolate Bayou Plant,Petrochemical,100.5,4589.19,845.97,1269.05,58.63,22.17,14.23,2470.71,2507.11,22.99
2010-06-08,2010,159,INEOS Chocolate Bayou Plant,Petrochemical,109.5,4631.14,855.12,1266.59,25.17,11.64,11.99,2447.1,2470.73,22.42
2010-06-09,2010,160,INEOS Chocolate Bayou Plant,Petrochemical,98.48,4798.02,846.06,1186.84,39.33,15.31,14.42,2533.18,2562.91,22.37
2010-06-10,2010,161,INEOS Chocolate Bayou Plant,Petrochemical,106.85,4816.73,837.12,1248.49,30.11,13.96,15.19,2543.95,2573.11,23.08
2010-06-11,2010,162,INEOS Chocolate Bayou Plant,Petrochemical,102.38,4659.65,875.91,1244.47,48.8,16.53,14.5,2478.45,2509.48,23.49
2010-06-12,2010,163,INEOS Chocolate Bayou Plant,Petrochemical,102.72,4541.1,845.4,1286.33,44.78,15.99,13.36,2446.29,2475.64,22.22
2010-06-13,2010,164,INEOS Chocolate Bayou Plant,Petrochemical,102.07,4359.03,820.37,1300.76,30.62,18.08,14.15,2281.84,2314.08,22.4
2010-06-14,2010,165,INEOS Chocolate Bayou Plant,Petrochemical,102.1,4559.33,833.13,1184.03,33.24,17.26,14.58,2438.51,2470.35,23.39
2010-06-15,2010,166,INEOS Chocolate Bayou Plant,Petrochemical,98.05,4525.55,860.59,1192.49,55.59,19.59,7.74,2565.9,2593.23,23.45
2010-06-16,2010,167,INEOS Chocolate Bayou Plant,Petrochemical,114.18,4559.09,899.79,1251.38,30.61,22.08,9.88,2325.65,2357.61,23.71
2010-06-17,2010,168,INEOS Chocolate Bayou Plant,Petrochemical,95.19,4458.72,876.03,1227.14,41.36,15.18,10.08,2435.15,2460.42,22.79
2010-06-18,2010,169,INEOS Chocolate Bayou Plant,Petrochemical,96.6,4319.61,836.36,1271.19,31.22,16.35,9.68,2345.61,2371.64,23.5
2010-06-19,2010,170,INEOS Chocolate Bayou Plant,Petrochemical,107.89,4705.59,839.92,1220.92,34.23,17.12,11.86,2523.36,2552.34,22.01
2010-06-20,2010,171,INEOS Chocolate Bayou Plant,Petrochemical,99.12,4832.26,850.74,1220.2,45.28,15.37,13.75,2505.95,2535.07,23.82
2010-06-21,2010,172,INEOS Chocolate Bayou Plant,Petrochemical,97.45,4354.4,852.58,1250.93,49.18,19.49,15.03,2280.43,2314.95,22.58
